,sub_event_type,Total Sources Used
0,Peaceful protest,72564
1,Violent demonstration,4703
2,Protest with intervention,3558
3,Mob violence,1983
4,Change to group/activity,1641
5,Attack,1205
6,Other,416
7,Looting/property destruction,314
8,Armed clash,211
9,Arrests,163
10,Excessive force against protesters,95
11,Remote explosive/landmine/IED,71
12,Abduction/forced disappearance,68
13,Agreement,32
14,Sexual violence,31
15,Disrupted weapons use,17
16,Shelling/artillery/missile attack,16
17,Grenade,7
18,Air/drone strike,1
