,sub_event_type,mean,sd,sd_plus1,over_0.5001,over_0.6,over_0.7,over_0.75,over_0.8,over_0.85,over_0.9,over_0.95,over_1
0,Peaceful protest,0.7987037190393641,0.3250837429563895,1.1237874619957535,4380,4306,4097,4015,3842,3609,3366,3099,2932
1,Protest with intervention,0.044237577848892866,0.14085716391020536,0.18509474175909824,90,85,75,73,70,69,69,69,69
2,Change to group/activity,0.03217285776679531,0.1426660169880617,0.174838874754857,102,99,92,92,87,81,80,77,77
3,Looting/property destruction,0.004753608956397912,0.04861290383864563,0.05336651279504354,12,11,8,8,8,7,7,7,7
4,Attack,0.020832473741074515,0.10848405430544657,0.12931652804652108,58,54,46,46,43,41,40,40,40
5,Violent demonstration,0.04821643275182222,0.1493954109656143,0.1976118437174365,105,102,82,82,78,74,73,73,73
6,Abduction/forced disappearance,0.0015507361092846669,0.030467539281174436,0.0320182753904591,4,4,4,4,3,3,3,3,3
7,Other,0.012557364258876042,0.08957009351289237,0.10212745777176842,37,37,34,34,34,34,33,33,33
8,Mob violence,0.02225588170728618,0.10777277328394318,0.13002865499122934,53,52,46,43,42,42,42,42,42
9,Arrests,0.0032591085398415856,0.04306704872426936,0.04632615726411095,8,8,7,7,7,7,7,7,7
10,Disrupted weapons use,0.00022887594684686686,0.007240781113759246,0.007469657060606112,0,0,0,0,0,0,0,0,0
11,Excessive force against protesters,0.0019017683236134853,0.03464273688848619,0.036544505212099676,6,6,6,5,5,5,5,5,5
12,Remote explosive/landmine/IED,0.002384808359394105,0.042767468902827316,0.04515227726222142,9,9,9,9,9,9,9,9,9
13,Sexual violence,0.0005570141436134163,0.01969178370271267,0.020248797846326088,2,2,2,2,2,2,2,2,2
14,Armed clash,0.004872014131990907,0.056349183877178785,0.06122119800916969,16,15,14,14,14,14,14,14,14
15,Grenade,6.529288918522145e-05,0.0026691910140402785,0.0027344839032255,0,0,0,0,0,0,0,0,0
16,Agreement,0.0006261503778186995,0.022275591762999418,0.022901742140818117,3,3,3,3,2,2,2,2,2
17,Shelling/artillery/missile attack,0.00080100291096051,0.0246707835018491,0.02547178641280961,3,3,3,3,3,3,3,3,3
18,Air/drone strike,2.3312196941439763e-05,0.0017070514396701614,0.001730363636611601,0,0,0,0,0,0,0,0,0
