,source_singular,country,country_total,country_pct,source_singular,sub_event_type,sub_event_type_total,sub_event_type_pct
0,El Diario De La Pampa,Argentina_majority,100,1.0,El Diario De La Pampa,Peaceful_protest_majority,96,0.96
1,CBC,Canada_majority,268,0.9962825278810409,CBC,Peaceful_protest_majority,219,0.8141263940520446
2,Calgary Herald,Canada_majority,43,1.0,Calgary Herald,Peaceful_protest_majority,35,0.813953488372093
3,CTV News,Canada_majority,389,1.0,CTV News,Peaceful_protest_majority,327,0.8406169665809768
4,Indian Express,India_majority,192,1.0,Indian Express,Peaceful_protest_majority,121,0.6302083333333334
5,Ponte Jornalismo,Brazil_majority,12,1.0,Ponte Jornalismo,Peaceful_protest_majority,8,0.6666666666666666
6,Mitteldeutschen Zeitung,Germany_majority,120,1.0,Mitteldeutschen Zeitung,Peaceful_protest_majority,114,0.95
7,Tagesschau,Germany_majority,28,1.0,Tagesschau,Peaceful_protest_majority,20,0.7142857142857143
8,Leipziger Volkszeitung,Germany_majority,26,1.0,Leipziger Volkszeitung,Peaceful_protest_majority,26,1.0
9,Der Tagesspiegel,Germany_majority,100,1.0,Der Tagesspiegel,Peaceful_protest_majority,73,0.73
10,New York Post,United_States_majority,61,1.0,New York Post,Peaceful_protest_majority,51,0.8360655737704918
11,RTV Rijnmond,Netherlands_majority,22,1.0,RTV Rijnmond,Peaceful_protest_majority,14,0.6363636363636364
12,Norddeutscher Rundfunk,Germany_majority,114,1.0,Norddeutscher Rundfunk,Peaceful_protest_majority,104,0.9122807017543859
13,Telegraph (India),India_majority,179,1.0,Telegraph (India),Peaceful_protest_majority,140,0.7821229050279329
14,No Cut News,South_Korea_majority,122,0.991869918699187,No Cut News,Peaceful_protest_majority,120,0.975609756097561
15,NEWSIS,South_Korea_majority,276,0.9928057553956835,NEWSIS,Peaceful_protest_majority,272,0.9784172661870504
16,MAIN-POST,Germany_majority,133,1.0,MAIN-POST,Peaceful_protest_majority,131,0.9849624060150376
17,Vicenza Today,Italy_majority,39,1.0,Vicenza Today,Peaceful_protest_majority,39,1.0
18,Diario Extra,Costa_Rica_majority,38,1.0,Diario Extra,Peaceful_protest_majority,33,0.868421052631579
19,La Republica (Peru),Peru_majority,302,0.9966996699669967,La Republica (Peru),Peaceful_protest_majority,246,0.8118811881188119
20,China Times,Taiwan_majority,10,1.0,China Times,Peaceful_protest_majority,9,0.9
21,Epoch Times,United_States_majority,17,0.7083333333333334,Epoch Times,Peaceful_protest_majority,21,0.875
22,Torino Today,Italy_majority,105,1.0,Torino Today,Peaceful_protest_majority,96,0.9142857142857143
23,El Sol de Acapulco,Mexico_majority,145,1.0,El Sol de Acapulco,Peaceful_protest_majority,136,0.9379310344827586
24,Merkur,Germany_majority,516,0.9980657640232108,Merkur,Peaceful_protest_majority,475,0.9187620889748549
25,TLZ,Germany_majority,91,1.0,TLZ,Peaceful_protest_majority,81,0.8901098901098901
26,Sachsische Zeitung,Germany_majority,59,1.0,Sachsische Zeitung,Peaceful_protest_majority,51,0.864406779661017
27,Polizei Mecklenburg-Vorpommern,Germany_majority,368,1.0,Polizei Mecklenburg-Vorpommern,Peaceful_protest_majority,365,0.9918478260869565
28,Bayerischer Rundfunk,Germany_majority,25,1.0,Bayerischer Rundfunk,Peaceful_protest_majority,21,0.84
29,Indypendent,United_States_majority,29,1.0,Indypendent,Peaceful_protest_majority,26,0.896551724137931
30,Network Contagion Research Institute,United_States_majority,120,1.0,Network Contagion Research Institute,Peaceful_protest_majority,113,0.9416666666666667
31,Boston Herald,United_States_majority,19,1.0,Boston Herald,Peaceful_protest_majority,18,0.9473684210526315
32,Dawn (Pakistan),Pakistan_majority,166,1.0,Dawn (Pakistan),Peaceful_protest_majority,155,0.9337349397590361
33,Castelli News,Italy_majority,49,1.0,Castelli News,Peaceful_protest_majority,48,0.9795918367346939
34,Corriere Romagna,Italy_majority,79,1.0,Corriere Romagna,Peaceful_protest_majority,79,1.0
35,KSTA - Kolner Stadt-Anzeiger,Germany_majority,116,1.0,KSTA - Kolner Stadt-Anzeiger,Peaceful_protest_majority,107,0.9224137931034483
36,News12 (Bronx),United_States_majority,20,1.0,News12 (Bronx),Peaceful_protest_majority,19,0.95
37,Detik,Indonesia_majority,75,1.0,Detik,Peaceful_protest_majority,50,0.6666666666666666
38,Siliguri Times,India_majority,238,1.0,Siliguri Times,Peaceful_protest_majority,219,0.9201680672268907
39,La Patilla,Venezuela_majority,44,1.0,La Patilla,Peaceful_protest_majority,39,0.8863636363636364
40,Le Progres,France_majority,187,1.0,Le Progres,Peaceful_protest_majority,181,0.9679144385026738
41,RTE,Ireland_majority,14,0.9333333333333333,RTE,Peaceful_protest_majority,14,0.9333333333333333
42,Inmediahk.net,China_majority,109,1.0,Inmediahk.net,Peaceful_protest_majority,102,0.9357798165137615
43,Berliner Zeitung,Germany_majority,103,0.9716981132075472,Berliner Zeitung,Peaceful_protest_majority,85,0.8018867924528302
44,General Anzeiger,Germany_majority,63,1.0,General Anzeiger,Peaceful_protest_majority,57,0.9047619047619048
45,Hannoversche Allgemeine,Germany_majority,26,1.0,Hannoversche Allgemeine,Peaceful_protest_majority,23,0.8846153846153846
46,Le Telegramme,France_majority,344,1.0,Le Telegramme,Peaceful_protest_majority,337,0.9796511627906976
47,Nochrichten,Austria_majority,26,1.0,Nochrichten,Peaceful_protest_majority,18,0.6923076923076923
48,Brindisi Report,Italy_majority,13,1.0,Brindisi Report,Peaceful_protest_majority,11,0.8461538461538461
49,Imagen del Golfo,Mexico_majority,72,1.0,Imagen del Golfo,Peaceful_protest_majority,62,0.8611111111111112
50,CNA,Taiwan_majority,12,0.8,CNA,Peaceful_protest_majority,12,0.8
51,HK01,China_majority,100,1.0,HK01,Peaceful_protest_majority,83,0.83
52,Los Angeles Times,United_States_majority,61,1.0,Los Angeles Times,Peaceful_protest_majority,43,0.7049180327868853
53,KTLA5,United_States_majority,42,1.0,KTLA5,Peaceful_protest_majority,32,0.7619047619047619
54,CR Hoy,Costa_Rica_majority,20,0.9090909090909091,CR Hoy,Peaceful_protest_majority,19,0.8636363636363636
55,Winnipeg Free Press,Canada_majority,23,1.0,Winnipeg Free Press,Peaceful_protest_majority,20,0.8695652173913043
56,La Presse (Canada),Canada_majority,77,1.0,La Presse (Canada),Peaceful_protest_majority,58,0.7532467532467533
