,source_singular,country,country_pct,country_total,sub_event_type,sub_event_type_pct,sub_event_type_total
0,La Capital (Argentina),,,,,,
1,SOHR,,,,,,
2,Liveuamap,,,,,,
3,SHAAM,,,,,,
4,El Sol de Acapulco,,,,,,
5,Amar Ujala,,,,,,
6,AFP,,,,,,
7,Proceso Digital,,,,,,
8,ABS-CBN,,,,,,
9,Philippine Star,,,,,,
10,El Salvador.com,El_Salvador_majority,1.0,16.0,Peaceful_protest_majority,0.875,14.0
11,Diario Co Latino,El_Salvador_majority,1.0,10.0,Peaceful_protest_majority,0.8,8.0
12,I Avgi,,,,,,
13,France Info,,,,,,
14,Hawke's Bay Today,,,,,,
15,Brescia Today,Italy_majority,1.0,14.0,Peaceful_protest_majority,0.8571428571428571,12.0
16,Ming Pao,,,,,,
17,HKFP,,,,,,
18,Detik,,,,,,
19,Polizei Mecklenburg-Vorpommern,,,,,,
20,Norddeutscher Rundfunk,,,,,,
21,Tribunnews,,,,,,
22,Kyunghyang Shinmun,,,,,,
23,El Diario De La Pampa,,,,,,
24,Le Nouvelliste,,,,,,
25,AM New York,United_States_majority,1.0,46.0,Peaceful_protest_majority,0.9565217391304348,44.0
26,Weiquanwang,,,,,,
27,Daily NK,,,,,,
28,Der Tagesspiegel,,,,,,
29,Leipziger Volkszeitung,Germany_majority,1.0,28.0,Peaceful_protest_majority,1.0,28.0
30,Radiodresden,,,,,,
31,TLZ,,,,,,
32,Sachsische Zeitung,Germany_majority,1.0,60.0,Peaceful_protest_majority,0.8666666666666667,52.0
33,Channel 2 (Buffalo),United_States_majority,1.0,17.0,Peaceful_protest_majority,0.9411764705882353,16.0
34,Edmonton Sun,Canada_majority,1.0,11.0,Peaceful_protest_majority,0.7272727272727273,8.0
35,Edmonton Journal,,,,,,
36,Calgary Herald,Canada_majority,1.0,43.0,Peaceful_protest_majority,0.813953488372093,35.0
37,CBC,,,,,,
38,CTV News,,,,,,
39,Pakistan Press International,,,,,,
40,Indian Express,,,,,,
41,Times of India,,,,,,
42,Radio Free Asia,,,,,,
43,Tibetan Review,,,,,,
44,Ponte Jornalismo,,,,,,
45,Mitteldeutschen Zeitung,,,,,,
46,Tagesschau,Germany_majority,1.0,28.0,Peaceful_protest_majority,0.7142857142857143,20.0
47,New York Post,United_States_majority,1.0,61.0,Peaceful_protest_majority,0.8360655737704918,51.0
48,RTV Rijnmond,,,,,,
49,Telegraph (India),,,,,,
50,Le Figaro,France_majority,1.0,23.0,Peaceful_protest_majority,0.782608695652174,18.0
51,NEWSIS,,,,,,
52,No Cut News,,,,,,
53,Al Dia News,,,,,,
54,MAIN-POST,,,,,,
55,Vicenza Today,Italy_majority,1.0,39.0,Peaceful_protest_majority,1.0,39.0
56,AP,,,,,,
57,Diario Extra,Costa_Rica_majority,1.0,38.0,Peaceful_protest_majority,0.868421052631579,33.0
58,La Republica (Peru),,,,,,
59,China Times,Taiwan_majority,1.0,10.0,Peaceful_protest_majority,0.9,9.0
60,Voice of Tibet,,,,,,
61,Epoch Times,,,,,,
62,Torino Today,,,,,,
63,Merkur,,,,,,
64,Bayerischer Rundfunk,Germany_majority,1.0,25.0,Peaceful_protest_majority,0.84,21.0
65,Connecticut Post,United_States_majority,1.0,9.0,Peaceful_protest_majority,1.0,9.0
66,Indypendent,United_States_majority,1.0,29.0,Peaceful_protest_majority,0.896551724137931,26.0
67,Network Contagion Research Institute,,,,,,
68,Twitter,,,,,,
69,Kallxo,,,,,,
70,WBZ NewsRadio,,,,,,
71,Boston Herald,United_States_majority,1.0,19.0,Peaceful_protest_majority,0.9473684210526315,18.0
72,Dawn (Pakistan),,,,,,
73,Castelli News,Italy_majority,1.0,49.0,Peaceful_protest_majority,0.9795918367346939,48.0
74,Nigeria Punch,,,,,,
75,Blueprint,,,,,,
76,Corriere Romagna,Italy_majority,1.0,79.0,Peaceful_protest_majority,1.0,79.0
77,KSTA - Kolner Stadt-Anzeiger,,,,,,
78,News12 (Bronx),United_States_majority,1.0,20.0,Peaceful_protest_majority,0.95,19.0
79,Siliguri Times,,,,,,
80,La Patilla,Venezuela_majority,1.0,44.0,Peaceful_protest_majority,0.8863636363636364,39.0
81,Manila Standard,,,,,,
82,Le Progres,,,,,,
83,RTE,Ireland_majority,0.9333333333333333,14.0,Peaceful_protest_majority,0.9333333333333333,14.0
84,Inmediahk.net,,,,,,
85,Berliner Zeitung,,,,,,
86,General Anzeiger,Germany_majority,1.0,63.0,Peaceful_protest_majority,0.9047619047619048,57.0
87,Hannoversche Allgemeine,Germany_majority,1.0,26.0,Peaceful_protest_majority,0.8846153846153846,23.0
88,Le Telegramme,,,,,,
89,Nochrichten,,,,,,
90,Brindisi Report,Italy_majority,1.0,13.0,Peaceful_protest_majority,0.8461538461538461,11.0
91,Imagen del Golfo,Mexico_majority,1.0,72.0,Peaceful_protest_majority,0.8611111111111112,62.0
92,Manila Bulletin,,,,,,
93,CNA,,,,,,
94,G1,,,,,,
95,HK01,,,,,,
96,KTLA5,United_States_majority,1.0,42.0,Peaceful_protest_majority,0.7619047619047619,32.0
97,Los Angeles Times,United_States_majority,1.0,61.0,Peaceful_protest_majority,0.7049180327868853,43.0
98,CR Hoy,Costa_Rica_majority,0.9090909090909091,20.0,Peaceful_protest_majority,0.8636363636363636,19.0
99,Winnipeg Free Press,Canada_majority,1.0,23.0,Peaceful_protest_majority,0.8695652173913043,20.0
100,APTN (Canada),Canada_majority,1.0,5.0,Peaceful_protest_majority,0.8,4.0
101,Montreal Gazette,Canada_majority,1.0,42.0,Peaceful_protest_majority,0.7619047619047619,32.0
102,La Presse (Canada),Canada_majority,1.0,77.0,Peaceful_protest_majority,0.7532467532467533,58.0
103,Le Devoir,Canada_majority,1.0,23.0,Peaceful_protest_majority,0.7391304347826086,17.0
104,Bristolpost,United_Kingdom_majority,1.0,20.0,Peaceful_protest_majority,0.95,19.0
105,Sud Ouest,,,,,,
106,Daily Excelsior,,,,,,
107,WBNG12,United_States_majority,1.0,5.0,Peaceful_protest_majority,1.0,5.0
108,Kookje Shinmun,South_Korea_majority,1.0,40.0,Peaceful_protest_majority,1.0,40.0
109,Hamburger Abendblatt,,,,,,
110,Dresdner Neueste Nachrichten,,,,,,
111,Ostsee Zeitung,Germany_majority,1.0,61.0,Peaceful_protest_majority,0.9672131147540983,59.0
112,Kantipur,,,,,,
113,Westdeutsche Allgemeine Zeitung,Germany_majority,0.9846153846153847,64.0,Peaceful_protest_majority,0.9538461538461539,62.0
114,Westfalen Post,Germany_majority,1.0,25.0,Peaceful_protest_majority,0.92,23.0
115,Saarbruecker Zeitung,Germany_majority,0.984375,63.0,Peaceful_protest_majority,0.921875,59.0
116,Donau Kurier,,,,,,
117,Matichon,Thailand_majority,1.0,77.0,Peaceful_protest_majority,0.948051948051948,73.0
118,CRLW,,,,,,
119,YNA,,,,,,
120,Trmtv,Italy_majority,1.0,59.0,Peaceful_protest_majority,1.0,59.0
121,TriestePrima,Italy_majority,1.0,68.0,Peaceful_protest_majority,0.8676470588235294,59.0
122,Free Press Journal (India),,,,,,
123,World Socialist Web Site,,,,,,
124,Il Quotidiano Del Sud,Italy_majority,1.0,56.0,Peaceful_protest_majority,0.9642857142857143,54.0
125,Redattore Sociale,,,,,,
126,Diario Primicia,Venezuela_majority,1.0,18.0,Peaceful_protest_majority,0.8888888888888888,16.0
127,EDaily,,,,,,
128,France Bleu,,,,,,
129,CBS News,United_States_majority,1.0,11.0,Peaceful_protest_majority,0.8181818181818182,9.0
130,Chicago Tribune,United_States_majority,1.0,27.0,Peaceful_protest_majority,0.9629629629629629,26.0
131,Mitteldeutscher Rundfunk,Germany_majority,1.0,7.0,Peaceful_protest_majority,0.7142857142857143,5.0
132,News1,,,,,,
133,YTN,,,,,,
134,Heute - Osterreichs Neue Tageszeitung,,,,,,
135,Le Mauricien,Mauritius_majority,1.0,21.0,Peaceful_protest_majority,0.9523809523809523,20.0
136,Defi Media,Mauritius_majority,1.0,16.0,Peaceful_protest_majority,0.875,14.0
137,L'Express (Mauritius),Mauritius_majority,1.0,7.0,Peaceful_protest_majority,0.7142857142857143,5.0
138,WNPR,,,,,,
139,Philippine Daily Inquirer,,,,,,
140,El Heraldo (Honduras),Honduras_majority,1.0,49.0,Peaceful_protest_majority,0.7959183673469388,39.0
141,El Pais (Honduras),Honduras_majority,1.0,36.0,Peaceful_protest_majority,0.9722222222222222,35.0
142,Outlook (India),India_majority,1.0,7.0,Peaceful_protest_majority,0.7142857142857143,5.0
143,Plymouth Herald,United_Kingdom_majority,1.0,6.0,Peaceful_protest_majority,0.8333333333333334,5.0
144,Berliner Morgenpost,,,,,,
145,Markische Allgemeine,Germany_majority,1.0,54.0,Peaceful_protest_majority,0.9814814814814815,53.0
146,AT 5,,,,,,
147,Kolnische Rundschau,,,,,,
148,Actu,,,,,,
149,TVP,,,,,,
150,Hessische Niedersachsische Allgemeine,,,,,,
151,National News Agency Lebanon,Lebanon_majority,1.0,25.0,Peaceful_protest_majority,0.84,21.0
152,Karar,Turkey_majority,1.0,30.0,Change_to_group_activity_majority,0.8,24.0
153,Anadolu Agency,,,,,,
154,New Zealand Herald,New_Zealand_majority,1.0,73.0,Peaceful_protest_majority,0.7671232876712328,56.0
155,Hiba Press,Morocco_majority,1.0,28.0,Peaceful_protest_majority,0.7857142857142857,22.0
156,Cyprus Mail,Cyprus_majority,1.0,28.0,Peaceful_protest_majority,0.9285714285714286,26.0
157,Roya News,,,,,,
158,Diario de Morelos,Mexico_majority,1.0,17.0,Peaceful_protest_majority,0.8823529411764706,15.0
159,Fox News,,,,,,
160,Sentinel (India),,,,,,
161,Sudwest Presse,,,,,,
162,CITY News,,,,,,
163,CP24,Canada_majority,1.0,17.0,Peaceful_protest_majority,0.7058823529411765,12.0
164,Waterloo Region Record,Canada_majority,1.0,28.0,Peaceful_protest_majority,0.9642857142857143,27.0
165,Global News (Canada),Canada_majority,1.0,79.0,Peaceful_protest_majority,0.8481012658227848,67.0
166,Correo del Sur,,,,,,
167,La Region (Peru),Peru_majority,1.0,20.0,Peaceful_protest_majority,0.9,18.0
168,Janakpur Today,Nepal_majority,1.0,19.0,Peaceful_protest_majority,0.8421052631578947,16.0
169,News12 (Brooklyn),United_States_majority,1.0,14.0,Peaceful_protest_majority,1.0,14.0
170,Telegraph-Journal (Canada),Canada_majority,1.0,24.0,Peaceful_protest_majority,0.75,18.0
171,El Sol de Sinaloa,Mexico_majority,1.0,25.0,Peaceful_protest_majority,0.92,23.0
172,Ancona Today,Italy_majority,1.0,41.0,Peaceful_protest_majority,1.0,41.0
173,Bulatlat,,,,,,
174,Biobio Chile,,,,,,
175,Lider San Antonio,,,,,,
176,KDKA2,United_States_majority,1.0,21.0,Peaceful_protest_majority,0.9523809523809523,20.0
177,La Tribuna (Honduras),,,,,,
178,Loop News Saint Vincent and the Grenadines,,,,,,
179,Mercurio Antofagasta,,,,,,
180,Aydinlik,Turkey_majority,1.0,14.0,Change_to_group_activity_majority,0.9285714285714286,13.0
181,A Haber,Turkey_majority,1.0,11.0,Change_to_group_activity_majority,0.8181818181818182,9.0
182,AKIpress,,,,,,
183,Los Angeles Daily News,United_States_majority,1.0,27.0,Peaceful_protest_majority,1.0,27.0
