,source_singular_main,source_singular,country,country_total,country_pct,source_singular,sub_event_type,sub_event_type_total,sub_event_type_pct
0,La Capital (Argentina),La Capital (Argentina),Argentina_majority,91.0,1.0,,,,
1,Liveuamap,,,,,,,,
2,SOHR,SOHR,Syria_majority,9.0,1.0,,,,
3,SHAAM,SHAAM,Syria_majority,5.0,1.0,,,,
4,El Sol de Acapulco,El Sol de Acapulco,Mexico_majority,146.0,1.0,,,,
5,Amar Ujala,Amar Ujala,India_majority,206.0,1.0,,,,
6,AFP,,,,,,,,
7,Proceso Digital,Proceso Digital,Honduras_majority,89.0,1.0,,,,
8,Philippine Star,Philippine Star,Philippines_majority,48.0,1.0,,,,
9,ABS-CBN,ABS-CBN,Philippines_majority,50.0,1.0,,,,
10,El Salvador.com,El Salvador.com,El_Salvador_majority,16.0,1.0,El Salvador.com,Peaceful_protest_majority,14.0,0.875
11,Diario Co Latino,Diario Co Latino,El_Salvador_majority,10.0,1.0,Diario Co Latino,Peaceful_protest_majority,8.0,0.8
12,I Avgi,I Avgi,Greece_majority,131.0,1.0,,,,
13,France Info,,,,,,,,
14,Hawke's Bay Today,Hawke's Bay Today,New_Zealand_majority,4.0,1.0,,,,
15,Brescia Today,Brescia Today,Italy_majority,14.0,1.0,Brescia Today,Peaceful_protest_majority,12.0,0.8571428571428571
16,HKFP,HKFP,China_majority,22.0,1.0,,,,
17,Ming Pao,Ming Pao,China_majority,68.0,1.0,,,,
18,Detik,Detik,Indonesia_majority,76.0,1.0,,,,
19,Polizei Mecklenburg-Vorpommern,,,,,,,,
20,Norddeutscher Rundfunk,Norddeutscher Rundfunk,Germany_majority,121.0,1.0,,,,
21,Tribunnews,,,,,,,,
22,Kyunghyang Shinmun,Kyunghyang Shinmun,South_Korea_majority,149.0,0.9933333333333333,,,,
23,El Diario De La Pampa,El Diario De La Pampa,Argentina_majority,100.0,1.0,,,,
24,Le Nouvelliste,,,,,,,,
25,AM New York,AM New York,United_States_majority,46.0,1.0,AM New York,Peaceful_protest_majority,44.0,0.9565217391304348
26,Weiquanwang,Weiquanwang,China_majority,22.0,1.0,,,,
27,Daily NK,Daily NK,North_Korea_majority,35.0,1.0,,,,
28,Der Tagesspiegel,Der Tagesspiegel,Germany_majority,101.0,1.0,,,,
29,Leipziger Volkszeitung,Leipziger Volkszeitung,Germany_majority,28.0,1.0,Leipziger Volkszeitung,Peaceful_protest_majority,28.0,1.0
